season,week,date,away_team,home_team,elo_diff_pre_game,p_home,predicted_winner,model_probability,actual_home_score,actual_away_score,actual_winner,correct
2016,1,2016-09-09,CAR,DEN,50.8,0.621,DEN,0.621,21,20,DEN,1
2016,1,2016-09-11,TB,ATL,160.29,0.7548,ATL,0.7548,24,31,TB,0
2016,1,2016-09-11,BUF,BAL,51.26,0.6216,BAL,0.6216,13,7,BAL,1
2016,1,2016-09-11,CHI,HOU,78.36,0.6576,HOU,0.6576,23,14,HOU,1
2016,1,2016-09-11,GB,JAX,-363.66,0.131,GB,0.869,23,27,GB,1
2016,1,2016-09-11,LAC,KC,107.81,0.6947,KC,0.6947,33,27,KC,1
2016,1,2016-09-11,LV,NO,201.3,0.7958,NO,0.7958,34,35,LV,0
2016,1,2016-09-11,CIN,NYJ,-186.02,0.2954,CIN,0.7046,22,23,CIN,1
2016,1,2016-09-11,CLE,PHI,184.32,0.7795,PHI,0.7795,29,10,PHI,1
2016,1,2016-09-11,MIN,TEN,-233.82,0.2415,MIN,0.7585,16,25,MIN,1
2016,1,2016-09-11,MIA,SEA,272.82,0.8547,SEA,0.8547,12,10,SEA,1
2016,1,2016-09-11,NYG,DAL,35.53,0.6001,DAL,0.6001,19,20,NYG,0
2016,1,2016-09-11,DET,IND,32.69,0.5962,IND,0.5962,35,39,DET,0
2016,1,2016-09-12,NE,ARI,-168.83,0.3164,NE,0.6836,21,23,NE,1
2016,1,2016-09-12,PIT,WAS,-266.5,0.2087,PIT,0.7913,16,38,PIT,1
2016,1,2016-09-13,LAR,SF,82.29,0.6627,SF,0.6627,28,0,SF,1
2016,2,2016-09-16,NYJ,BUF,35.13,0.5996,BUF,0.5996,31,37,NYJ,0
2016,2,2016-09-18,TB,ARI,272.42,0.8544,ARI,0.8544,40,7,ARI,1
2016,2,2016-09-18,SF,CAR,146.12,0.7394,CAR,0.7394,46,27,CAR,1
2016,2,2016-09-18,BAL,CLE,-239.52,0.2355,BAL,0.7645,20,25,BAL,1
2016,2,2016-09-18,TEN,DET,192.55,0.7875,DET,0.7875,15,16,TEN,0
2016,2,2016-09-18,KC,HOU,-71.87,0.4471,KC,0.5529,19,12,HOU,0
2016,2,2016-09-18,MIA,NE,349.96,0.9017,NE,0.9017,31,24,NE,1
2016,2,2016-09-18,NO,NYG,-30.41,0.5066,NYG,0.5066,16,13,NYG,1
2016,2,2016-09-18,CIN,PIT,28.7,0.5907,PIT,0.5907,24,16,PIT,1
2016,2,2016-09-18,DAL,WAS,-99.55,0.4082,DAL,0.5918,23,27,DAL,1
2016,2,2016-09-18,SEA,LAR,-340.9,0.1467,SEA,0.8533,9,3,LAR,0
2016,2,2016-09-18,IND,DEN,176.11,0.7712,DEN,0.7712,34,20,DEN,1
2016,2,2016-09-18,ATL,LV,-172.91,0.3113,ATL,0.6887,28,35,ATL,1
2016,2,2016-09-18,JAX,LAC,187.0,0.7821,LAC,0.7821,38,14,LAC,1
2016,2,2016-09-19,GB,MIN,-108.7,0.3955,GB,0.6045,17,14,MIN,0
2016,2,2016-09-20,PHI,CHI,-86.38,0.4266,PHI,0.5734,14,29,PHI,1
2016,3,2016-09-23,HOU,NE,268.69,0.8517,NE,0.8517,27,0,NE,1
2016,3,2016-09-25,ARI,BUF,-139.43,0.3541,ARI,0.6459,33,18,BUF,0
2016,3,2016-09-25,MIN,CAR,89.38,0.6717,CAR,0.6717,10,22,MIN,0
2016,3,2016-09-25,DEN,CIN,-51.29,0.4766,DEN,0.5234,17,29,DEN,1
2016,3,2016-09-25,DET,GB,157.09,0.7513,GB,0.7513,34,27,GB,1
2016,3,2016-09-25,BAL,JAX,-280.3,0.1959,BAL,0.8041,17,19,BAL,1
2016,3,2016-09-25,CLE,MIA,128.46,0.7193,MIA,0.7193,30,24,MIA,1
2016,3,2016-09-25,WAS,NYG,83.6,0.6644,NYG,0.6644,27,29,WAS,0
2016,3,2016-09-25,LV,TEN,-0.75,0.5491,TEN,0.5491,10,17,LV,0
2016,3,2016-09-25,SF,SEA,229.55,0.821,SEA,0.821,37,18,SEA,1
2016,3,2016-09-25,LAR,TB,-47.06,0.4826,LAR,0.5174,32,37,LAR,1
2016,3,2016-09-25,LAC,IND,27.65,0.5892,IND,0.5892,26,22,IND,1
2016,3,2016-09-25,NYJ,KC,112.24,0.7001,KC,0.7001,24,3,KC,1
2016,3,2016-09-25,PIT,PHI,-161.04,0.3262,PIT,0.6738,34,3,PHI,0
2016,3,2016-09-26,CHI,DAL,88.03,0.67,DAL,0.67,31,17,DAL,1
2016,3,2016-09-27,ATL,NO,7.35,0.5606,NO,0.5606,32,45,ATL,0
2016,4,2016-09-30,MIA,CIN,185.0,0.7801,CIN,0.7801,22,7,CIN,1
2016,4,2016-10-02,IND,JAX,-234.97,0.2403,IND,0.7597,30,27,JAX,0
2016,4,2016-10-02,CAR,ATL,-121.7,0.3778,CAR,0.6222,48,33,ATL,0
2016,4,2016-10-02,LV,BAL,244.2,0.833,BAL,0.833,27,28,LV,0
2016,4,2016-10-02,DET,CHI,-77.12,0.4397,DET,0.5603,17,14,CHI,0
2016,4,2016-10-02,TEN,HOU,223.57,0.8158,HOU,0.8158,27,20,HOU,1
